Day,H1,H2,H3
0,0.193741936,0.678451866,1.515858911
1,0.184608449,0.707068678,1.542604865
2,0.103812433,0.746786088,1.559790222
3,0.075161149,0.789695805,1.587013332
4,0.050046672,0.825403371,1.590046755
5,0.036213476,0.846039484,1.573864221
6,0.115922702,0.852447774,1.595796337
7,0.13278429,0.854571655,1.570769013
8,0.14561901,0.863082675,1.544583646
9,0.120036039,0.878414709,1.582458654
10,0.066948191,0.888054533,1.586506362
11,0.089569585,0.876841904,1.586088232
12,0.10725537,0.842598864,1.587277366
13,0.177318731,0.802606572,1.561861115
14,0.251193983,0.783070816,1.578552345
15,0.270048708,0.798850938,1.570972484
16,0.265925286,0.840506937,1.542943801
17,0.194053973,0.880404342,1.576804778
18,0.134618473,0.893354165,1.576202767
19,0.096847829,0.8746884,1.550257259
20,0.065881508,0.841232103,1.565505655
21,0.066597818,0.815790719,1.583924828
22,0.073750963,0.809511768,1.618979064
23,0.102493805,0.816662708,1.639744798
24,0.104401892,0.823915642,1.641060694
25,0.063733143,0.823524137,1.663033433
26,0.015384151,0.818302567,1.644557338
27,0.015290374,0.815959891,1.61065466
28,0.088637277,0.82056087,1.606626684
29,0.157265173,0.829879943,1.60251032
30,0.194213013,0.83960605,1.609630419
31,0.17587811,0.847956839,1.588866629
32,0.154455911,0.855030943,1.569831358
33,0.144247524,0.858489127,1.600141557
34,0.081044294,0.852182281,1.584249692
35,0.031641115,0.831184035,1.572549257
36,0,0.798742974,1.609154703
37,0.047995282,0.767019744,1.596224832
38,0.144700479,0.748888699,1.581852073
39,0.153258453,0.747482315,1.569365584
40,0.15231867,0.75359842,1.54385363
41,0.128996862,0.754261351,1.58354499
42,0.160744003,0.744907395,1.603827829
43,0.251430472,0.733701154,1.60676907
44,0.265428083,0.733736304,1.672258771
45,0.318750367,0.750469169,1.69252472
46,0.351028919,0.776276321,1.682542039
47,0.383257456,0.797027936,1.702113653
48,0.420300383,0.804014033,1.703684725
49,0.327987364,0.799881465,1.711020969
50,0.295237341,0.79379279,1.691762587
51,0.283611963,0.79181928,1.649045011
52,0.306234637,0.792601859,1.649202869
53,0.390660433,0.791813557,1.629593681
54,0.359535357,0.789176244,1.610157437
55,0.384286746,0.789239813,1.637645694
56,0.391369208,0.794526559,1.659677311
57,0.371780564,0.798954511,1.681439708
58,0.42207841,0.790325959,1.674454776
59,0.380694076,0.761472137,1.656866122
60,0.431220251,0.719625103,1.683460754
61,0.482565762,0.683578401,1.672047045
62,0.475665908,0.669252764,1.653235706
63,0.528838852,0.675979009,1.678778971
64,0.457119132,0.686337028,1.670678721
65,0.442674786,0.680483644,1.659255915
66,0.430476808,0.652550747,1.654263621
67,0.371080872,0.61464276,1.648273081
68,0.435853377,0.58528075,1.68534963
69,0.413181157,0.573163096,1.68416281
70,0.438832773,0.570768605,1.659684232
71,0.462036422,0.562655586,1.675478371
72,0.413011824,0.539923768,1.653820095
73,0.498628825,0.507709882,1.629577847
74,0.503780737,0.48019161,1.63590406
75,0.546280899,0.469138596,1.642610501
76,0.612300702,0.476506096,1.677156258
77,0.606222335,0.495872267,1.673397738
78,0.726678332,0.518712612,1.654058225
79,0.733140091,0.53860171,1.688405875
80,0.718039289,0.5511198,1.68019111
81,0.728529922,0.552995957,1.665294726
82,0.675589759,0.543987168,1.689386458
83,0.768129659,0.529713686,1.680216842
84,0.771621468,0.520211399,1.679267186
85,0.754211053,0.52253932,1.668167201
86,0.798968611,0.533253072,1.647113874
87,0.788745229,0.539268036,1.694024276
88,0.905829716,0.528978714,1.714501213
89,0.92880212,0.504906768,1.706016634
90,0.911479669,0.485495105,1.740863291
91,0.972829079,0.492112307,1.740204241
92,0.972501983,0.531064559,1.717381339
93,1.061703824,0.586363772,1.707425748
94,1.049199855,0.630568419,1.698494645
95,0.981478175,0.645181927,1.716901934
96,1.006412029,0.633397033,1.706527404
97,0.97423405,0.614713329,1.679468615
98,1.014054474,0.607044705,1.687704147
99,0.980326746,0.612531093,1.676346501
100,0.90844094,0.618860772,1.662525321
101,0.949570434,0.613195416,1.654497087
102,0.944421355,0.594831699,1.639550384
103,0.99630425,0.575318862,1.638030936
104,1.001381995,0.567383428,1.583640283
105,0.970869914,0.574042775,1.532289772
106,1.033430067,0.587607822,1.551011026
107,1.02913362,0.597770348,1.539738944
108,1.046464664,0.599731276,1.546071938
109,1.03460043,0.595062471,1.596520294
110,0.999123494,0.586673917,1.615016001
111,1.053583082,0.575102637,1.653092903
112,1.058577724,0.560453813,1.672706033
113,1.080555442,0.546651056,1.669151315
114,1.086471419,0.541244975,1.722948118
115,1.055744317,0.548984251,1.725621002
116,1.078066407,0.565261727,1.6853097
117,1.063945916,0.577322562,1.691140877
118,1.084863831,0.573984736,1.668502809
119,1.128281485,0.555534269,1.643759946
120,1.152326956,0.534110725,1.646825739
121,1.201513033,0.52344378,1.650491103
122,1.210303429,0.527128421,1.683502068
123,1.227053033,0.536334202,1.682231662
124,1.241525185,0.538903429,1.655437249
125,1.229208141,0.530884168,1.670295414
126,1.235685658,0.519457123,1.667649242
127,1.249428682,0.514955055,1.660237904
128,1.292009068,0.520398148,1.666251941
129,1.311527762,0.528951525,1.66617868
130,1.275373491,0.531213773,1.684114468
131,1.21146015,0.524192548,1.666274245
132,1.163924453,0.512560489,1.64934316
133,1.167060121,0.501419426,1.691038683
134,1.169464855,0.489108466,1.692303142
135,1.173074283,0.468640102,1.675171749
136,1.174573521,0.436919498,1.672432431
137,1.203227862,0.401877365,1.635614732
138,1.243146235,0.378821291,1.609979768
