	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Sensitivity	fraction	Time	Sensitivity%
0	H	0.0	1	Original	Slow	1	Immobile active aerobic degraders	0.041669649467178216	1.0	205.0	4.166964946717822
1	H	0.0	1	Original	Slow	1	Immobile active nitrate reducers	0.06539221828514705	1.0	205.0	6.539221828514704
2	H	0.0	1	Original	Slow	1	Immobile active sulphate reducers	0.019075409371685625	1.0	205.0	1.9075409371685625
3	H	0.0	1	Original	Slow	1	Immobile active ammonia oxidizers	0.12400671601527785	1.0	205.0	12.400671601527785
4	H	0.0	1	Original	Slow	1	Mobile active aerobic degraders	0.07684167596353796	1.0	205.0	7.684167596353795
5	H	0.0	1	Original	Slow	1	Mobile active nitrate reducers	0.02957217728980964	1.0	205.0	2.957217728980964
6	H	0.0	1	Original	Slow	1	Mobile active sulphate reducers	0.04424070823668003	1.0	205.0	4.4240708236680035
7	H	0.0	1	Original	Slow	1	Mobile active ammonia oxidizers	0.09776341163728873	1.0	205.0	9.776341163728873
8	H	0.0	1	Original	Slow	1	Immobile inactive aerobic degraders	0.013829709176050224	1.0	205.0	1.3829709176050224
9	H	0.0	1	Original	Slow	1	Immobile inactive nitrate reducers	0.01854104765612826	1.0	205.0	1.854104765612826
10	H	0.0	1	Original	Slow	1	Immobile inactive sulphate reducers	0.03200704365522609	1.0	205.0	3.2007043655226086
11	H	0.0	1	Original	Slow	1	Immobile inactive ammonia oxidizers	0.08683812235914722	1.0	205.0	8.683812235914722
12	H	0.0	1	Original	Slow	1	Mobile inactive aerobic degraders	0.0802077505777767	1.0	205.0	8.02077505777767
13	H	0.0	1	Original	Slow	1	Mobile inactive nitrate reducers	0.07532146789846533	1.0	205.0	7.532146789846533
14	H	0.0	1	Original	Slow	1	Mobile inactive sulphate reducers	0.044362217025898314	1.0	205.0	4.436221702589831
15	H	0.0	1	Original	Slow	1	Mobile inactive ammonia oxidizers	0.11295977341284053	1.0	205.0	11.295977341284052
16	H	0.0	1	Original	Slow	2	Immobile active aerobic degraders	0.08327555410546057	1.0	205.0	8.327555410546058
17	H	0.0	1	Original	Slow	2	Immobile active nitrate reducers	0.1369749722737546	1.0	205.0	13.697497227375461
18	H	0.0	1	Original	Slow	2	Immobile active sulphate reducers	0.07982956148597829	1.0	205.0	7.982956148597829
