	Unnamed: 0	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Mass	Contribution	Time	fraction	Mass_base	Cont_base	meanmass_fraction	contribution_fraction
0	0	H	0.0	1	Original	Slow	0	Immobile active aerobic degraders	0.6426286989461389	0.034513011433374416	205.0	1.0	0.6426286989461389	0.6426286989461389	1.0	0.05370599148462101
1	1	H	0.0	1	Original	Slow	0	Immobile active nitrate reducers	0.45024583806143625	0.02418089914491355	205.0	1.0	0.45024583806143625	0.45024583806143625	1.0	0.05370599148462102
2	2	H	0.0	1	Original	Slow	0	Immobile active sulphate reducers	0.0004638526709711868	2.4911667597297274e-05	205.0	1.0	0.0004638526709711868	0.0004638526709711868	1.0	0.05370599148462102
3	3	H	0.0	1	Original	Slow	0	Immobile active ammonia oxidizers	0.08356108388959305	0.004487730859820187	205.0	1.0	0.08356108388959305	0.08356108388959305	1.0	0.05370599148462102
4	4	H	0.0	1	Original	Slow	0	Mobile active aerobic degraders	0.19103125202007154	0.010259522794286454	205.0	1.0	0.19103125202007154	0.19103125202007154	1.0	0.05370599148462102
5	5	H	0.0	1	Original	Slow	0	Mobile active nitrate reducers	0.22647500641611404	0.012163064766063313	205.0	1.0	0.22647500641611404	0.22647500641611404	1.0	0.053705991484621025
6	6	H	0.0	1	Original	Slow	0	Mobile active sulphate reducers	0.0011583002141005176	6.22076614351171e-05	205.0	1.0	0.0011583002141005176	0.0011583002141005176	1.0	0.05370599148462101
7	7	H	0.0	1	Original	Slow	0	Mobile active ammonia oxidizers	0.0432199761853452	0.0023211716729756725	205.0	1.0	0.0432199761853452	0.0432199761853452	1.0	0.05370599148462102
8	8	H	0.0	1	Original	Slow	0	Immobile inactive aerobic degraders	8.056198162011098	0.4326661098873875	205.0	1.0	8.056198162011098	8.056198162011098	1.0	0.05370599148462102
9	9	H	0.0	1	Original	Slow	0	Immobile inactive nitrate reducers	2.6925599766073436	0.14460660317550533	205.0	1.0	2.6925599766073436	2.6925599766073436	1.0	0.053705991484621005
10	10	H	0.0	1	Original	Slow	0	Immobile inactive sulphate reducers	0.2237943012903036	0.012019094839403754	205.0	1.0	0.2237943012903036	0.2237943012903036	1.0	0.05370599148462101
11	11	H	0.0	1	Original	Slow	0	Immobile inactive ammonia oxidizers	0.10036489864656284	0.005390196392067155	205.0	1.0	0.10036489864656284	0.10036489864656284	1.0	0.05370599148462101
12	12	H	0.0	1	Original	Slow	0	Mobile inactive aerobic degraders	4.296904827492302	0.23076953407552844	205.0	1.0	4.296904827492302	4.296904827492302	1.0	0.053705991484621005
13	13	H	0.0	1	Original	Slow	0	Mobile inactive nitrate reducers	1.4381257584829754	0.07723596973890083	205.0	1.0	1.4381257584829754	1.4381257584829754	1.0	0.053705991484621025
14	14	H	0.0	1	Original	Slow	0	Mobile inactive sulphate reducers	0.1182955200776392	0.0063531781939585065	205.0	1.0	0.1182955200776392	0.1182955200776392	1.0	0.053705991484621025
