	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
0	H	0.0	1	Original	Slow	1	Immobile active aerobic degraders	0	55	0.9722541852335252	1.0	205.0
1	H	0.0	1	Original	Slow	1	Immobile active nitrate reducers	20	65	0.9498177026904273	1.0	205.0
2	H	0.0	1	Original	Slow	1	Immobile active sulphate reducers	465	0	0.4964892700214255	1.0	205.0
3	H	0.0	1	Original	Slow	1	Immobile active ammonia oxidizers	25	55	0.8701439407882228	1.0	205.0
4	H	0.0	1	Original	Slow	1	Mobile active aerobic degraders	20	0	-0.7606626793328626	1.0	205.0
5	H	0.0	1	Original	Slow	1	Mobile active nitrate reducers	155	0	-0.6950436854017729	1.0	205.0
6	H	0.0	1	Original	Slow	1	Mobile active sulphate reducers	0	40	0.9811726783668642	1.0	205.0
7	H	0.0	1	Original	Slow	1	Mobile active ammonia oxidizers	15	25	0.7550154786596911	1.0	205.0
8	H	0.0	1	Original	Slow	1	Immobile inactive aerobic degraders	80	0	-0.6835655483047299	1.0	205.0
9	H	0.0	1	Original	Slow	1	Immobile inactive nitrate reducers	20	0	-0.8879218935347001	1.0	205.0
10	H	0.0	1	Original	Slow	1	Immobile inactive sulphate reducers	485	0	0.5064984623483616	1.0	205.0
11	H	0.0	1	Original	Slow	1	Immobile inactive ammonia oxidizers	15	0	-0.7763524336956177	1.0	205.0
12	H	0.0	1	Original	Slow	1	Mobile inactive aerobic degraders	130	0	-0.7277531725108694	1.0	205.0
13	H	0.0	1	Original	Slow	1	Mobile inactive nitrate reducers	130	0	-0.7278318293390037	1.0	205.0
14	H	0.0	1	Original	Slow	1	Mobile inactive sulphate reducers	120	0	-0.6784729985219662	1.0	205.0
15	H	0.0	1	Original	Slow	1	Mobile inactive ammonia oxidizers	35	0	-0.733568229069761	1.0	205.0
16	H	0.0	1	Original	Slow	2	Immobile active aerobic degraders	0	185	0.982479473315255	1.0	205.0
17	H	0.0	1	Original	Slow	2	Immobile active nitrate reducers	20	215	0.9838574141037739	1.0	205.0
18	H	0.0	1	Original	Slow	2	Immobile active sulphate reducers	445	175	0.7496877422060234	1.0	205.0
19	H	0.0	1	Original	Slow	2	Immobile active ammonia oxidizers	25	220	0.9336604923312269	1.0	205.0
20	H	0.0	1	Original	Slow	2	Mobile active aerobic degraders	15	0	-0.725027775436548	1.0	205.0
21	H	0.0	1	Original	Slow	2	Mobile active nitrate reducers	180	0	-0.7202461846404582	1.0	205.0
22	H	0.0	1	Original	Slow	2	Mobile active sulphate reducers	0	155	0.985804579949858	1.0	205.0
23	H	0.0	1	Original	Slow	2	Mobile active ammonia oxidizers	15	30	0.7288947017741935	1.0	205.0
24	H	0.0	1	Original	Slow	2	Immobile inactive aerobic degraders	155	0	-0.8944555035576627	1.0	205.0
25	H	0.0	1	Original	Slow	2	Immobile inactive nitrate reducers	10	0	-0.8534920817734547	1.0	205.0
26	H	0.0	1	Original	Slow	2	Immobile inactive sulphate reducers	370	330	0.8448259483202355	1.0	205.0
27	H	0.0	1	Original	Slow	2	Immobile inactive ammonia oxidizers	935	0	0.6595997373168999	1.0	205.0
28	H	0.0	1	Original	Slow	2	Mobile inactive aerobic degraders	155	0	-0.8797057345495592	1.0	205.0
29	H	0.0	1	Original	Slow	2	Mobile inactive nitrate reducers	140	0	-0.8744171883878187	1.0	205.0
30	H	0.0	1	Original	Slow	2	Mobile inactive sulphate reducers	40	0	-0.6294007368361615	1.0	205.0
31	H	0.0	1	Original	Slow	2	Mobile inactive ammonia oxidizers	15	0	-0.7168971359326577	1.0	205.0
32	H	0.0	1	Original	Slow	5	Immobile active aerobic degraders	0	200	0.9785881146777874	1.0	205.0
33	H	0.0	1	Original	Slow	5	Immobile active nitrate reducers	25	235	0.9852411773540399	1.0	205.0
34	H	0.0	1	Original	Slow	5	Immobile active sulphate reducers	440	0	0.6853332567275463	1.0	205.0
35	H	0.0	1	Original	Slow	5	Immobile active ammonia oxidizers	30	245	0.944376685607135	1.0	205.0
36	H	0.0	1	Original	Slow	5	Mobile active aerobic degraders	15	0	-0.7400212810778136	1.0	205.0
37	H	0.0	1	Original	Slow	5	Mobile active nitrate reducers	170	0	-0.6995773543618201	1.0	205.0
38	H	0.0	1	Original	Slow	5	Mobile active sulphate reducers	0	155	0.9802209781265605	1.0	205.0
39	H	0.0	1	Original	Slow	5	Mobile active ammonia oxidizers	20	140	0.8139296847971379	1.0	205.0
40	H	0.0	1	Original	Slow	5	Immobile inactive aerobic degraders	155	0	-0.9090161611226698	1.0	205.0
41	H	0.0	1	Original	Slow	5	Immobile inactive nitrate reducers	10	0	-0.8603309393675155	1.0	205.0
42	H	0.0	1	Original	Slow	5	Immobile inactive sulphate reducers	305	300	0.8501026370624256	1.0	205.0
43	H	0.0	1	Original	Slow	5	Immobile inactive ammonia oxidizers	725	0	0.4649632864423437	1.0	205.0
