	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
0	H	0.0	1	Original	Slow	1	DOC	0	0	0.15891365597218424	1.0	205.0
1	H	0.0	1	Original	Slow	1	DO	95	0	0.5897308184425297	1.0	205.0
2	H	0.0	1	Original	Slow	1	Ammonium	220	0	-0.12125423027705853	1.0	205.0
3	H	0.0	1	Original	Slow	1	Nitrate	85	0	0.608227640251128	1.0	205.0
4	H	0.0	1	Original	Slow	1	Sulphate	0	0	0.0746480911646438	1.0	205.0
5	H	0.0	1	Original	Slow	1	Particulate organic matter	60	0	0.6754475566635486	1.0	205.0
6	H	0.0	1	Original	Slow	1	Nitrogen	320	0	-0.4201540495597353	1.0	205.0
7	H	0.0	1	Original	Slow	1	TOC	305	0	-0.6079449854057831	1.0	205.0
8	H	0.0	1	Original	Slow	2	DOC	0	0	0.09819608154843697	1.0	205.0
9	H	0.0	1	Original	Slow	2	DO	70	0	0.6232782063477091	1.0	205.0
10	H	0.0	1	Original	Slow	2	Ammonium	305	0	-0.22115189330011029	1.0	205.0
11	H	0.0	1	Original	Slow	2	Nitrate	85	130	0.7760884092991784	1.0	205.0
12	H	0.0	1	Original	Slow	2	Sulphate	0	0	0.01132756210952704	1.0	205.0
13	H	0.0	1	Original	Slow	2	Particulate organic matter	45	0	0.5236513119571043	1.0	205.0
14	H	0.0	1	Original	Slow	2	Nitrogen	465	0	-0.5584669499755411	1.0	205.0
15	H	0.0	1	Original	Slow	2	TOC	395	0	-0.7526189523637733	1.0	205.0
16	H	0.0	1	Original	Slow	5	DOC	50	0	0.16048681747151203	1.0	205.0
17	H	0.0	1	Original	Slow	5	DO	105	50	0.712815294175136	1.0	205.0
18	H	0.0	1	Original	Slow	5	Ammonium	245	0	-0.3492719904763277	1.0	205.0
19	H	0.0	1	Original	Slow	5	Nitrate	95	180	0.8331844706855903	1.0	205.0
20	H	0.0	1	Original	Slow	5	Sulphate	0	0	-0.033596699698228226	1.0	205.0
21	H	0.0	1	Original	Slow	5	Particulate organic matter	20	0	0.6009799071281493	1.0	205.0
22	H	0.0	1	Original	Slow	5	Nitrogen	430	0	-0.5076183323224513	1.0	205.0
23	H	0.0	1	Original	Slow	5	TOC	365	0	-0.7127872020258119	1.0	205.0
24	37	0.1	2	Original	Slow	1	DOC	0	0	0.16038388968727119	1.0	205.0
25	37	0.1	2	Original	Slow	1	DO	85	0	0.5896121493197052	1.0	205.0
26	37	0.1	2	Original	Slow	1	Ammonium	215	0	-0.13009311943016516	1.0	205.0
27	37	0.1	2	Original	Slow	1	Nitrate	85	0	0.6131615362128683	1.0	205.0
28	37	0.1	2	Original	Slow	1	Sulphate	0	0	0.07464801548167549	1.0	205.0
29	37	0.1	2	Original	Slow	1	Particulate organic matter	60	0	0.6858107111604584	1.0	205.0
