	Unnamed: 0	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	delmassflux	reldelmassflux	normmassflux	Time	fraction	relbase	normmassflux_fraction
0	0	H	0.0	1	Original	Slow	0	DOC	-0.27012168342672954	59.237211277775955	0.40762788722224047	205.0	1.0	0.40762788722224047	1.0
1	1	H	0.0	1	Original	Slow	0	DO	-0.14189116024073414	99.57274402855921	0.004272559714407877	205.0	1.0	0.004272559714407877	1.0
2	2	H	0.0	1	Original	Slow	0	Ammonium	-0.006766997334964647	19.7865419150961	0.8021345808490389	205.0	1.0	0.8021345808490389	1.0
3	3	H	0.0	1	Original	Slow	0	Nitrate	-0.10640466136507952	74.6699378000362	0.2533006219996381	205.0	1.0	0.2533006219996381	1.0
4	4	H	0.0	1	Original	Slow	0	Sulphate	-5.697375238256086e-09	6.663596769888404e-07	0.9999999933364032	205.0	1.0	0.9999999933364032	1.0
5	5	H	0.0	1	Original	Slow	0	Particulate organic matter	0.001931078823954252	-67.75715171767521	1.677571517176752	205.0	1.0	1.677571517176752	1.0
6	6	H	0.0	1	Original	Slow	0	Nitrogen	-0.10148103898398816	56.99004817483291	0.43009951825167086	205.0	1.0	0.43009951825167086	1.0
7	7	H	0.0	1	Original	Slow	0	TOC	-0.15321548626616915	32.6212498437508	0.673787501562492	205.0	1.0	0.673787501562492	1.0
8	8	H	0.0	1	Original	Slow	2	DOC	-295.64821807806663	59.20707894158196	0.40792921058418047	205.0	1.0	0.40762788722224047	1.0007392118434129
9	9	H	0.0	1	Original	Slow	2	DO	-155.37890002404995	99.57272446973788	0.0042727553026213555	205.0	1.0	0.004272559714407877	1.000045777760067
10	10	H	0.0	1	Original	Slow	2	Ammonium	-7.277341316016443	19.43165764516575	0.8056834235483425	205.0	1.0	0.8021345808490389	1.0044242484790362
11	11	H	0.0	1	Original	Slow	2	Nitrate	-116.2669037644512	74.50826574068492	0.25491734259315074	205.0	1.0	0.2533006219996381	1.0063826159633944
12	12	H	0.0	1	Original	Slow	2	Sulphate	-6.9161136480033755e-06	7.386848949754874e-07	0.9999999926131509	205.0	1.0	0.9999999933364032	0.9999999992767477
13	13	H	0.0	1	Original	Slow	2	Particulate organic matter	2.0908547161076867	-66.9949718143899	1.6699497181438991	205.0	1.0	1.677571517176752	0.9954566473293014
14	14	H	0.0	1	Original	Slow	2	Nitrogen	-110.54732778306742	56.692496268611976	0.43307503731388014	205.0	1.0	0.43009951825167086	1.0069182106371675
15	15	H	0.0	1	Original	Slow	2	TOC	-165.67904510406436	32.21281863786117	0.6778718136213884	205.0	1.0	0.673787501562492	1.0060617213133591
16	16	H	0.0	1	Original	Slow	5	DOC	-295.3461579667867	59.17418536044831	0.408258146395517	205.0	1.0	0.40762788722224047	1.0015461630399514
17	17	H	0.0	1	Original	Slow	5	DO	-155.30772757415812	99.57355339402628	0.004264466059737227	205.0	1.0	0.004272559714407877	0.9981056661084556
18	18	H	0.0	1	Original	Slow	5	Ammonium	-7.273001259828653	19.429130330260254	0.8057086966973973	205.0	1.0	0.8021345808490389	1.0044557558465754
19	19	H	0.0	1	Original	Slow	5	Nitrate	-116.0144166741348	74.38115213979167	0.2561884786020833	205.0	1.0	0.2533006219996381	1.0114009060840339
20	20	H	0.0	1	Original	Slow	5	Sulphate	-7.550358759544906e-06	8.068025792305518e-07	0.9999999919319743	205.0	1.0	0.9999999933364032	0.9999999985955711
21	21	H	0.0	1	Original	Slow	5	Particulate organic matter	2.099221358485309	-67.29443965536383	1.6729443965536381	205.0	1.0	1.677571517176752	0.9972417744485189
22	22	H	0.0	1	Original	Slow	5	Nitrogen	-110.06804073279093	56.47303907859912	0.43526960921400887	205.0	1.0	0.43009951825167086	1.0120206853133762
23	23	H	0.0	1	Original	Slow	5	TOC	-163.15238595506173	31.73636386197443	0.6826363613802556	205.0	1.0	0.673787501562492	1.0131330127039213
24	24	H	0.0	1	Original	Slow	1	DOC	-295.4926448882507	59.23721199432065	0.40762788005679357	205.0	1.0	0.40762788722224047	0.9999999824215979
25	25	H	0.0	1	Original	Slow	1	DO	-155.22000313601998	99.57391918169556	0.004260808183044498	205.0	1.0	0.004272559714407877	0.9972495337341334
26	26	H	0.0	1	Original	Slow	1	Ammonium	-7.2748343370118	19.445082026011377	0.8055491797398863	205.0	1.0	0.8021345808490389	1.004256890268006
27	27	H	0.0	1	Original	Slow	1	Nitrate	-116.25166847150149	74.57566039974095	0.25424339600259044	205.0	1.0	0.2533006219996381	1.0037219569202387
