Unnamed: 0,Trial,Variance,Anisotropy,Domain,Regime,Time_series,Chem,delmassflux,reldelmassflux,normmassflux,Time,fraction,reldelmf_h_base,reldelmf_t_base,reldelmf_h_fraction,reldelmf_t_fraction
0,H,0.0,1,Original,Slow,0,DOC,-0.27012168342672954,59.237211277775955,2.4532178276968466,205.0,1.0,59.237211277775955,59.237211277775955,1.0,1.0
1,H,0.0,1,Original,Slow,0,DO,-0.14189116024073414,99.57274402855921,234.05173171197853,205.0,1.0,99.57274402855921,99.57274402855921,1.0,1.0
2,H,0.0,1,Original,Slow,0,Ammonium,-0.006766997334964647,19.7865419150961,1.2466735930291468,205.0,1.0,19.7865419150961,19.7865419150961,1.0,1.0
3,H,0.0,1,Original,Slow,0,Nitrate,-0.10640466136507952,74.6699378000362,3.947878185634415,205.0,1.0,74.6699378000362,74.6699378000362,1.0,1.0
4,H,0.0,1,Original,Slow,0,Sulphate,-5.697375238256086e-09,6.663596769888404e-07,1.0000000066635968,205.0,1.0,6.663596769888404e-07,6.663596769888404e-07,1.0,1.0
5,H,0.0,1,Original,Slow,0,Particulate organic matter,0.001931078823954252,-67.75715171767521,0.5960997726540669,205.0,1.0,-67.75715171767521,-67.75715171767521,1.0,1.0
6,H,0.0,1,Original,Slow,0,Nitrogen,-0.10148103898398816,56.99004817483291,2.32504329245692,205.0,1.0,56.99004817483291,56.99004817483291,1.0,1.0
7,H,0.0,1,Original,Slow,0,TOC,-0.15321548626616915,32.6212498437508,1.484147446607471,205.0,1.0,32.6212498437508,32.6212498437508,1.0,1.0
8,H,0.0,1,Original,Slow,2,DOC,-295.64821807806663,59.20707894158196,2.4514057195559413,205.0,1.0,59.237211277775955,59.237211277775955,0.9994913275702211,0.9994913275702211
9,H,0.0,1,Original,Slow,2,DO,-155.37890002404995,99.57272446973788,234.04101783841807,205.0,1.0,99.57274402855921,99.57274402855921,0.9999998035725386,0.9999998035725386
10,H,0.0,1,Original,Slow,2,Ammonium,-7.277341316016443,19.43165764516575,1.241182294152038,205.0,1.0,19.7865419150961,19.7865419150961,0.9820643611474326,0.9820643611474326
11,H,0.0,1,Original,Slow,2,Nitrate,-116.2669037644512,74.50826574068492,3.922840203132058,205.0,1.0,74.6699378000362,74.6699378000362,0.9978348440602129,0.9978348440602129
12,H,0.0,1,Original,Slow,2,Sulphate,-6.9161136480033755e-06,7.386848949754874e-07,1.0000000073868491,205.0,1.0,6.663596769888404e-07,6.663596769888404e-07,1.1085378069595562,1.1085378069595562
13,H,0.0,1,Original,Slow,2,Particulate organic matter,2.0908547161076867,-66.9949718143899,0.5988204250314022,205.0,1.0,-67.75715171767521,-67.75715171767521,0.9887512995460449,0.9887512995460449
14,H,0.0,1,Original,Slow,2,Nitrogen,-110.54732778306742,56.692496268611976,2.3090686690288944,205.0,1.0,56.99004817483291,56.99004817483291,0.9947788795456338,0.9947788795456338
15,H,0.0,1,Original,Slow,2,TOC,-165.67904510406436,32.21281863786117,1.4752051640231347,205.0,1.0,32.6212498437508,32.6212498437508,0.9874795966480151,0.9874795966480151
16,H,0.0,1,Original,Slow,5,DOC,-295.3461579667867,59.17418536044831,2.4494306086208715,205.0,1.0,59.237211277775955,59.237211277775955,0.9989360417891365,0.9989360417891365
17,H,0.0,1,Original,Slow,5,DO,-155.30772757415812,99.57355339402628,234.4959453286443,205.0,1.0,99.57274402855921,99.57274402855921,1.0000081283836753,1.0000081283836753
18,H,0.0,1,Original,Slow,5,Ammonium,-7.273001259828653,19.429130330260254,1.2411433612408596,205.0,1.0,19.7865419150961,19.7865419150961,0.9819366321629369,0.9819366321629369
19,H,0.0,1,Original,Slow,5,Nitrate,-116.0144166741348,74.38115213979167,3.903376160616569,205.0,1.0,74.6699378000362,74.6699378000362,0.9961325043417354,0.9961325043417354
20,H,0.0,1,Original,Slow,5,Sulphate,-7.550358759544906e-06,8.068025792305518e-07,1.0000000080680258,205.0,1.0,6.663596769888404e-07,6.663596769888404e-07,1.2107614057266305,1.2107614057266305
21,H,0.0,1,Original,Slow,5,Particulate organic matter,2.099221358485309,-67.29443965536383,0.5977484978341525,205.0,1.0,-67.75715171767521,-67.75715171767521,0.9931710225329516,0.9931710225329516
22,H,0.0,1,Original,Slow,5,Nitrogen,-110.06804073279093,56.47303907859912,2.297426649670665,205.0,1.0,56.99004817483291,56.99004817483291,0.9909280810809684,0.9909280810809684
23,H,0.0,1,Original,Slow,5,TOC,-163.15238595506173,31.73636386197443,1.4649087809768166,205.0,1.0,32.6212498437508,32.6212498437508,0.9728739399619941,0.9728739399619941
24,H,0.0,1,Original,Slow,1,DOC,-295.4926448882507,59.23721199432065,2.453217870820497,205.0,1.0,59.237211277775955,59.237211277775955,1.0000000120961923,1.0000000120961923
25,H,0.0,1,Original,Slow,1,DO,-155.22000313601998,99.57391918169556,234.69725860446147,205.0,1.0,99.57274402855921,99.57274402855921,1.000011801955925,1.000011801955925
26,H,0.0,1,Original,Slow,1,Ammonium,-7.2748343370118,19.445082026011377,1.2413891356985831,205.0,1.0,19.7865419150961,19.7865419150961,0.9827428213302797,0.9827428213302797
27,H,0.0,1,Original,Slow,1,Nitrate,-116.25166847150149,74.57566039974095,3.9332388401144986,205.0,1.0,74.6699378000362,74.6699378000362,0.9987374115598207,0.9987374115598207
28,H,0.0,1,Original,Slow,1,Sulphate,-6.650334285041026e-06,7.110336245877245e-07,1.0000000071103363,205.0,1.0,6.663596769888404e-07,6.663596769888404e-07,1.0670417931060259,1.0670417931060259
29,H,0.0,1,Original,Slow,1,Particulate organic matter,2.1195129058770843,-67.98357251978099,0.5952963048706709,205.0,1.0,-67.75715171767521,-67.75715171767521,1.003341651713006,1.003341651713006
30,H,0.0,1,Original,Slow,1,Nitrogen,-110.59895411187763,56.77771581309994,2.3136213617860646,205.0,1.0,56.99004817483291,56.99004817483291,0.996274220350164,0.996274220350164
31,H,0.0,1,Original,Slow,1,TOC,-166.21715792189426,32.35091453958931,1.478216583704174,205.0,1.0,32.6212498437508,32.6212498437508,0.9917129078298244,0.9917129078298244
32,37,0.1,2,Original,Slow,0,DOC,-0.27039461357209393,59.23812632930003,2.453272899275015,205.0,1.0,59.237211277775955,59.23812632930003,1.0000154472417646,1.0
33,37,0.1,2,Original,Slow,0,DO,-0.14203223018470418,99.57267220216036,234.0123916710912,205.0,1.0,99.57274402855921,99.57267220216036,0.9999992786540177,1.0
34,37,0.1,2,Original,Slow,0,Ammonium,-0.006768248382222616,19.770529567756288,1.2464247795883574,205.0,1.0,19.7865419150961,19.770529567756288,0.9991907455376223,1.0
35,37,0.1,2,Original,Slow,0,Nitrate,-0.10650996544062193,74.66954409777765,3.9478168251692014,205.0,1.0,74.6699378000362,74.66954409777765,0.9999947274328846,1.0
36,37,0.1,2,Original,Slow,0,Sulphate,-5.714068995743559e-09,6.676478973748857e-07,1.000000006676479,205.0,1.0,6.663596769888404e-07,6.676478973748857e-07,1.0019332207973126,1.0
37,37,0.1,2,Original,Slow,0,Particulate organic matter,0.0019378632518610827,-67.92761829453984,0.5954946602327384,205.0,1.0,-67.75715171767521,-67.92761829453984,1.002515846261881,1.0
38,37,0.1,2,Original,Slow,0,Nitrogen,-0.10156612476764287,56.98113842720976,2.324561746730433,205.0,1.0,56.99004817483291,56.98113842720976,0.9998436613424888,1.0
39,37,0.1,2,Original,Slow,0,TOC,-0.15327372302007747,32.601213015710485,1.4837062278778064,205.0,1.0,32.6212498437508,32.601213015710485,0.9993857737475943,1.0
40,37,0.1,2,Original,Slow,2,DOC,-295.8675858539658,59.19210904986189,2.4505064503869334,205.0,1.0,59.237211277775955,59.23812632930003,0.9992386166238891,0.9992231813818294
41,37,0.1,2,Original,Slow,2,DO,-155.53147998114798,99.57142196198042,233.32973491150275,205.0,1.0,99.57274402855921,99.57267220216036,0.9999867226057523,0.9999874439426774
42,37,0.1,2,Original,Slow,2,Ammonium,-7.312686996616148,19.506625569311648,1.2423382757559571,205.0,1.0,19.7865419150961,19.770529567756288,0.9858531952179632,0.9866516474664877
43,37,0.1,2,Original,Slow,2,Nitrate,-116.34732839738069,74.48568567217974,3.9193685048773608,205.0,1.0,74.6699378000362,74.66954409777765,0.9975324456764666,0.9975377052609676
44,37,0.1,2,Original,Slow,2,Sulphate,-6.870587071716727e-06,7.33092880968917e-07,1.0000000073309288,205.0,1.0,6.663596769888404e-07,6.676478973748857e-07,1.100145921616434,1.0980232003296249
45,37,0.1,2,Original,Slow,2,Particulate organic matter,2.1078090088688413,-67.47108053713073,0.5971180198949547,205.0,1.0,-67.75715171767521,-67.92761829453984,0.9957779928274367,0.9932790554288313
46,37,0.1,2,Original,Slow,2,Nitrogen,-110.63224071661206,56.6796417638727,2.308383496159649,205.0,1.0,56.99004817483291,56.98113842720976,0.9945533225378588,0.994708833981578
47,37,0.1,2,Original,Slow,2,TOC,-165.58983908011803,32.16346916042665,1.4741319870335063,205.0,1.0,32.6212498437508,32.601213015710485,0.9859667950947058,0.9865727739924006
48,37,0.1,2,Original,Slow,5,DOC,-295.5609851812551,59.15836975307767,2.4484820854460296,205.0,1.0,59.237211277775955,59.23812632930003,0.9986690540793931,0.9986536276353678
49,37,0.1,2,Original,Slow,5,DO,-155.45724669964488,99.57035188971923,232.74860893640687,205.0,1.0,99.57274402855921,99.57267220216036,0.9999759759674867,0.9999766972966597
50,37,0.1,2,Original,Slow,5,Ammonium,-7.294292470367581,19.46664017171567,1.2417214457862311,205.0,1.0,19.7865419150961,19.770529567756288,0.9838323571267215,0.9846291726784987
51,37,0.1,2,Original,Slow,5,Nitrate,-116.08052094485063,74.34956274731906,3.8985690191128453,205.0,1.0,74.6699378000362,74.66954409777765,0.9957094506550267,0.9957147006276136
52,37,0.1,2,Original,Slow,5,Sulphate,-7.28820293716126e-06,7.7801554929431e-07,1.0000000077801556,205.0,1.0,6.663596769888404e-07,6.676478973748857e-07,1.1675609676894354,1.1653081697004921
53,37,0.1,2,Original,Slow,5,Particulate organic matter,2.1143547206247733,-67.7121999848137,0.5962595446786517,205.0,1.0,-67.75715171767521,-67.92761829453984,0.9993365758193493,0.9968287080404898
54,37,0.1,2,Original,Slow,5,Nitrogen,-110.14137472753531,56.45449756220396,2.2964484137678323,205.0,1.0,56.99004817483291,56.98113842720976,0.9906027345162791,0.9907576282337962
55,37,0.1,2,Original,Slow,5,TOC,-163.2265983044262,31.719241766335426,1.4645414401783374,205.0,1.0,32.6212498437508,32.601213015710485,0.9723490644369601,0.972946673826215
56,37,0.1,2,Original,Slow,1,DOC,-295.7123674981013,59.222349896969384,2.4523237544913834,205.0,1.0,59.237211277775955,59.23812632930003,0.9997491208568735,0.9997336777290533
57,37,0.1,2,Original,Slow,1,DO,-155.37195277566445,99.57234840659002,233.83520964490657,205.0,1.0,99.57274402855921,99.57267220216036,0.9999960268045934,0.99999674814823
58,37,0.1,2,Original,Slow,1,Ammonium,-7.3083011484348015,19.51512416956124,1.2424694573757518,205.0,1.0,19.7865419150961,19.770529567756288,0.9862827093941168,0.9870815095104186
59,37,0.1,2,Original,Slow,1,Nitrate,-116.32815140899507,74.55056729778866,3.9293606725980506,205.0,1.0,74.6699378000362,74.66954409777765,0.998401357952551,0.9984066221184746
60,37,0.1,2,Original,Slow,1,Sulphate,-6.595059176106587e-06,7.044230724120536e-07,1.0000000070442308,205.0,1.0,6.663596769888404e-07,6.676478973748857e-07,1.0571213966535533,1.0550816907860618
61,37,0.1,2,Original,Slow,1,Particulate organic matter,2.1342470849103403,-68.38814552047229,0.5938660330922299,205.0,1.0,-67.75715171767521,-67.92761829453984,1.0093125786252977,1.0067796757415455
