,Trial,Variance,Anisotropy,Regime,Time_series,Chem,Sensitivity,Timloc_max,Sensitivitybase,Timloc_maxbase,fraction,Time,Sensitivity%,Sensitivitybase%
0,H,0.0,1,Slow,1,DOC,0.002839880371142049,4.0,0.0028342880400786612,4.0,1.0,205.0,0.2839880371142049,0.28342880400786613
1,H,0.0,1,Slow,1,DO,0.016533826172429218,4.0,0.016364221444731986,4.0,1.0,205.0,1.6533826172429218,1.6364221444731986
2,H,0.0,1,Slow,1,Ammonium,0.003891441839918557,6.0,0.003904732723946391,6.0,1.0,205.0,0.3891441839918557,0.3904732723946391
3,H,0.0,1,Slow,1,Nitrate,0.015789563272502725,4.0,0.015731411627859026,4.0,1.0,205.0,1.5789563272502725,1.5731411627859027
4,H,0.0,1,Slow,1,Sulphate,0.0012915208285309674,4.0,0.0012903424324299925,4.0,1.0,205.0,0.12915208285309673,0.12903424324299925
5,H,0.0,1,Slow,1,Particulate organic matter,0.0352057642043045,11.0,0.03449313405568255,11.0,1.0,205.0,3.5205764204304497,3.449313405568255
6,H,0.0,1,Slow,1,Mobile active aerobic degraders,0.06263872180139197,6.0,0.06120814497525022,6.0,1.0,205.0,6.263872180139198,6.120814497525022
7,H,0.0,1,Slow,1,Mobile active nitrate reducers,0.07760310528081008,13.0,0.07722842520403032,13.0,1.0,205.0,7.760310528081008,7.722842520403033
8,H,0.0,1,Slow,1,Mobile active sulphate reducers,0.11046253162184999,4.0,0.11163678058452334,4.0,1.0,205.0,11.046253162185,11.163678058452334
9,H,0.0,1,Slow,1,Mobile active ammonia oxidizers,0.1057159280262197,13.0,0.10364617671006514,13.0,1.0,205.0,10.57159280262197,10.364617671006513
10,H,0.0,1,Slow,1,Mobile inactive aerobic degraders,0.05875442552342251,3.0,0.05836183468662826,3.0,1.0,205.0,5.8754425523422515,5.836183468662826
11,H,0.0,1,Slow,1,Mobile inactive nitrate reducers,0.05818157184015262,4.0,0.058368128627818296,4.0,1.0,205.0,5.818157184015262,5.836812862781829
12,H,0.0,1,Slow,1,Mobile inactive sulphate reducers,0.07586373255952002,4.0,0.07553064456111211,4.0,1.0,205.0,7.586373255952002,7.553064456111211
